"gloss","target_child_sex"
"you wanna keep the train tracks away or put them away","female"
"I'll get the box and put some train tracks away","female"
"do we see the fire station near the train station when we drop daddy off","female"
"all the train track pieces are broken","female"
"it's a choo_choo train","female"
"well why don't we play with the house first and then mommy will fix the train tracks","female"
"choo_choo book do we have a choo_choo train xxx","female"
"oh Gabby's got this choo_choo train book right","female"
"look the train and the car are going around in a circle","female"
"my sister asked me if actually she has a whole Brio train table and what not","female"
"the train is going around in a circle","female"
"the train's going around in a circle","female"
"a train's going in a circle","female"
"maybe you wanna put the baby on the train honey","female"
"you wanna put the baby on the train","female"
"where's the baby on the train honey oh sweetie hang on a sec hang on sweetie","female"
"is that a train","female"
"train who takes the train","female"
"Daddy takes the train you're right","female"
"look there's bubbles on your train tracks","female"
"she said um she was a big truck on the way to taking Don to the train","female"
"I know but the train track is behind me sweetie","female"
"remember what we were taking daddy to the train yesterday and you saw the big truck","female"
"honey there's a train track behind me I can't fall any further","female"
"with a roar like an express train everything began to tumble down off the counter","female"
"the train says choo choo the fire trucks live in the fire house right","female"
"op there's the train","female"
"who's on the train","female"
"and we see trolleys and buses near the train station right","female"
"yeah there's an alligator on the train","female"
"and an owl on the train right","female"
"a puppy on the train too","female"
"you're gonna take the train","female"
"you're gonna take Henry the train to the mall","female"
"the train","female"
"the train says choo choo","female"
"oh is there a train","female"
"it does look like popcorn in the back of the train","female"
"the trains","female"
"the train","female"
"and who takes him to the train","female"
"daddy and who else goes to the who drops daddy off at the train","female"
"does mommy drop daddy at the train","female"
"and does Lily drop daddy at the train","female"
"and what do you say to daddy when he gets when he goes off to the train","female"
"oh pie's gonna ride on the train","female"
"oh Polly's going to New York on the train wow","female"
"sweetie how many wheels on the train","female"
"xxx is that a train","female"
"what's a train say","female"
"did we take Daddy to the train station in the car this morning","female"
"ooh your train","female"
"where's that train going","female"
"that's a powerful train","female"
"oo boy that train is on a mission honey","female"
"the train is going after Stephanie","female"
"the train got you","female"
"you're very glad to see the train","female"
"a big hug for the train","female"
"you love the train what a nice nice friend you are","female"
"did you get that train","female"
"wow that's one strong train honey","female"
"trains on a couch","female"
"is there fuzz on the train","female"
"oh poor train","female"
"is the train tired","female"
"well maybe the train needs to go to sleep","female"
"does the train take a nap","female"
"should we press the buttons so the train can take a nap","female"
"oh boy that train is pooped","female"
"that train is tired","female"
"what does Henry have on the back of his train","female"
"a train","female"
"you think there's a train inside the box","female"
"where's the train going","female"
"it must be a tiny train huh","female"
"daddy's on the train","female"
"a very tiny train","female"
"who does Daddy ride a tiny train or does he ride a big train","female"
"big train","female"
"and what does the train say","female"
"he couldn't ride his bike without his training wheels right","female"
"in the spring all of Franklin's friends had training wheels on their bikes","female"
"soon everyone but Franklin could ride without training wheels","female"
"Franklin was worried that his friends would make fun of his training wheels","female"
"afterwards Franklin asked his mother to help take the training wheels off his bike","female"
"I can't ride without my training wheels groaned Franklin","female"
"who takes the train","female"
"Daddy takes the train and where does he take the train","female"
"yeah I bet a lot of people go to Boston on the train","female"
"I've got trains in my hair","female"
"trains in my hair","female"
"oh Toot loves trains thought Puddle","female"
"a train do you think Toot","female"
"do you think that Toot got on the train","female"
"so Puddle jumped on the train too","female"
"I guess I got carried away Toot said I hopped on a train and then a bus and then a plane and then a bicycle and then one thing led to another all the way to Kookooposh","female"
"the train engineer","female"
"engineers drive trains that carry people animals and other heavy loads","female"
"this is a passenger train","female"
"what's in this train","female"
"who rides a train","female"
"daddy where does daddy take the train","female"
"where does daddy take his train","female"
"but Franklin had a problem he couldn't ride his bike without his training wheels","female"
"in the Spring all of Franklin's friends had training wheels on their bikes","female"
"soon everyone but Franklin could ride without training wheels","female"
"Franklin was worried his friends would make fun of his training wheels so he fibbed and said I'm not hungry and went home to eat lunch alone","female"
"afterwards Franklin asked his mother to help take the training wheels off his bike","female"
"I can't ride without my training wheels groaned Franklin","female"
"by taxi and airplane by train and by car","female"
"this is a t for train","female"
"wax be trained","female"
"you're making a sad pumpkin and wax be trained","female"
"what does wax be trained mean","female"
"the train's gonna be alright","female"
"xxx whose train is too bright","female"
"I don't know what you're saying when you say wax be trained","female"
"um did you go to the train and eat all the peas","female"
"you went on the train and you went on the ferris wheel right","female"
"going to the train track","female"
"I don't think the trains are gonna fit in there","female"
"with a roar like an express train everything began to tumble down off the counter","female"
"a train","female"
"Toot loves trains he thought","female"
"I hopped on a train and then a bus and then a plane and then a bicycle and one led one thing led to another all the way to Coco_Poche","female"
"the blue goblin cackled look at the roots dangling from the walls they're straining to hear our plans","female"
"there it goes that's a big train with a lot of cars","female"
"choo choo the barrette's going for a train ride","female"
"and then they took they actually took an airplane to London where Paddington lives and then they took a train to France where Danielle used to live","female"
"everything had come to a stop even trains and taxi cabs","female"
"he couldn't ride his bicycle without training wheels","female"
"in the spring all of Franklin's friends had training wheels on their bikes","female"
"she took the training wheels off see she has no little wheels on the back","female"
"Franklin's training wheels are right here","female"
"soon everyone but Franklin could ride without training wheels","female"
"afterwards Franklin asked his mother to help take the training wheels off his bike","female"
"I can't ride without my training wheels said Franklin","female"
"soft training baseball","female"
"train","female"
"I'm gonna make the train go fast","female"
"train's gonna go fast","female"
"can you make the train go fast","female"
"oh there's the train book from the library I was wondering where that was","female"
"oh a train yes","female"
"train berry track berry clickety+clack berry","female"
"there's a train","female"
"the bear is in the train and the boy is in the train","female"
"and the duck is in the train","female"
"oh you want the train","female"
"thank you for the train","female"
"you want Sleepy Bear to have a train massage","female"
"Naima's having a train crawling up her chchchch chchchch belly chchchch","female"
"the train fell down did you have the train this morning","female"
"I think it was in the bucket oh there's the train you're right","female"
"here's the train let's wash your hands a little before you get the train","female"
"I'm gonna give you the train","female"
"is that a big train or a little train","female"
"does the train fit in the small cup","female"
"does the train fit in the little cup","female"
"we don't eat our trains in this house","female"
"let's find a strainer a sieve","female"
"the train fell down","female"
"train fell down","female"
"you're hugging your train","female"
"Daddy train","female"
"oh you're massaging Sleepy Bear with the train huh","female"
"okay the train is going over Sleepy Bear's belly ee","female"
"and up Naima's belly ee the train dyou think the train will fit in this pocket on your overalls","female"
"the train won't fit I think","female"
"I think that lego person might need to breathe yes that train is too big","female"
"can he ride the train","female"
"I'm riding the train roof roof roof roof roof","female"
"hey look it's your train","female"
"oh you're gonna rub me with the train","female"
"the train is on my","female"
"yeah there's a man on the train","female"
"the train is in the laundry basket","female"
"can you roll the train","female"
"train's over there","female"
"that train is far away now","female"
"train is hiding","female"
"is the train hidden","female"
"I think the train is hidden","female"
"I can't see the train at all","female"
"I think the train might be in the kitchen","female"
"let's get the train","female"
"oh that kid is under the colander the strainer too sieve","female"
"you can play with the trains there","female"
"train is acoming oh yeah","female"
"a garage for the trains","female"
"and Liza and Sally can go in the garage and find the trains","female"
"that aquarium train yeah and they can find them in there","female"
"they're looking for the train","female"
"or they're finding the train","female"
"oh what are they going to see in the train","female"
"xxx what's in the train Liza","female"
"a shark is in the train","female"
"let's put the train in the garage","female"
"mm and the train tracks can go right into the train garage","female"
"you rubbing the train","female"
"here comes the aquarium train","female"
"oh maybe more trains could go in the garage","female"
"a look train","female"
"or a luck train","female"
"a luck train","female"
"I'm just building a little bit more of a bridge over here on the train track that goes to the garage","female"
"will the trains fit oh they fit under the bridge","female"
"a train can go there","female"
"this train's gonna go all the way","female"
"that train doesn't really fit under this bridge","female"
"this train will probably fit all the way","female"
"now let's see if the yellow train fits","female"
"there that train fits too","female"
"the aquarium trains don't fit under the little bridge","female"
"yeah yup there train","female"
"train is acoming oh yeah","female"
"the train is singing","female"
"in the octopus train","female"
"the trains are on top of the bridge now","female"
"the trains are on top of the bridge","female"
"does she say I wonder if there are any trains in here","female"
"let's get the train","female"
"play with the train let's go away from the camera","female"
"you don't want me to play with the train","female"
"you played trains at the bookstore","female"
"you put trains in the train house","female"
"that's called the round house where you were putting those trains","female"
"somewhere on this train is a load of bananas for banana's gorilla","female"
"oh there was a big house for the trains and there was a little house for the trains","female"
"these are called box cars that's a locomotive that pulls the train","female"
"the green train","female"
"was there a purple train I didn't notice that","female"
"there were a lot of trains on that train table actually","female"
"huh really look at this long train oh my gosh","female"
"there's not one banana on this whole train I'll just hafta go hungry again","female"
"oh here's the other side of the train","female"
"here's the other side of the train","female"
"this side of the train doesn't have","female"
"doesn't have flaps or words it's just the train","female"
"on the train table","female"
"the train table is at the bookstore","female"
"the green train doesn't go in it","female"
"it does there was a purple train that wasn't there","female"
"he's in the train","female"
"Daddy was in the train","female"
"here's some curved train tracks","female"
"xxx your trains going over the bridge","female"
"it's on the train line","female"
"I see a train train also","female"
"so do you still wanna play trains","female"
"it's a strainer","female"
"in your room let's go back to your room and play trains that's what xxx","female"
"oh you made that circle what train will go on that circle","female"
"you gonna make the train to go around and around on that circle","female"
"what did you say you're doing to the trains","female"
"train","female"
"I think that the Wabash_Cannonball which is the name of the song is also the name of a train","female"
"Sleepy's train is called Sue and Maya","female"
"yeah trains xxx do usually have names it's true","female"
"that's a good name for a train","female"
"that's a funny name for a train","female"
"why is xxx train called that","female"
"I'm making more room on the floor and taking down the trains","female"
"wish I could get this trained on her","female"
"what ya wanna play trains how about we play tea set","female"
"oh that's the his train house","female"
"in the train house","female"
"oh he misses his train friend","female"
"he can have his train friend with him can't he","female"
"they're both sleeping the trains","female"
"are they nice and cozy in their train house","female"
"oh one train did not wanna go that way and switched to go that way instead","female"
"where did we have those trains","female"
"xxx maybe have a train","female"
"he have a train sometimes","female"
"train","female"
"okay we'll make a train","female"
"xxx xxx have a train","female"
"train stuff","female"
"trains","female"
"like trains on your birthday","female"
"it's part of the piece of the train","female"
"that's a piece of the train","female"
"that train has wheels oops","female"
"did the train fall down","female"
"shall I get the train","female"
"oh that's a train noise","female"
"ha train noise","female"
"get the train Mommy","female"
"how bout get the train Mommy please","female"
"where's the train","female"
"train oh train","female"
"oh there's the train","female"
"noise of the train","female"
"are you talking about the train noise","female"
"doing train are you playing with the train","female"
"are you playing with the train","female"
"are you hiding that train Naima","female"
"where's that train","female"
"renegade train","female"
"alright you color the train","female"
"he's going for a ride on the train","female"
"trains","female"
"hey there's a train with Santa in it","female"
"bigger than a train","female"
"toy train how many blocks in this pattern","female"
"you wanna set up some trains","female"
"let's set up some trains","female"
"now watch this we're gonna make a big train track that goes around the table","female"
"should we ride some trains on it","female"
"that guy's a train","female"
"okay you need to finish your movie while we do our taping and then you can play trains with me okay","female"
"yeah we are this is part of doing taping we're talking to each other and playing trains","female"
"actually it might be this train station I think this is the train station","female"
"train","female"
"another train","female"
"train jam","female"
"wow he's gotta big train now","female"
"he's got a big train look at how much he's got to pull","female"
"train","male"
"can you say train","male"
"train","male"
"she wants to just push that train along","female"
"stop the train okay","female"
"let your brother do his train","female"
"you do your train and he do his train","female"
"you hafta learn to play trains","female"
"you know how you play trains you let one person have their train and you have your train right","female"
"yeah you have it but you can't bump his train off","female"
"where's the train that goes on there William","male"
"can we find the train","male"
"can we find the train","male"
"oh you wanna help me with the train","male"
"wanna help me with the train","male"
"no train","male"
"train","female"
"this morning dyou wanna play with your train or","male"
"wouldja like to play with your train","male"
"it was a lovely circus horse beautifully trained and Harold easily put him into a brisk trot","female"
"let's go play with your train","male"
"wouldja like to build your train","male"
"d'you wanna help mommy build your train","male"
"your choo choo train","male"
"the train's gonna go around the little circle cause see I moved this","male"
"oh I'm sorry it's your train you do it how you like","male"
"William is this a train","male"
"not the train","male"
"not the train","male"
"where is the train","male"
"okay put the train","male"
"hey put the trains away","male"
"put the trains away","male"
"what part of the train","male"
"don't throw the train","male"
"train that one's a train","male"
"yes school bus and train","male"
"oh but you shut the train off","male"
"oh are you gonna be the train","male"
"you can push the train you don't have you don't hafta use the","male"
"you can just push the train","male"
"what does a train sound like","male"
"what about the trains","male"
"what about that train table that you have there","male"
"yeah let's go see that train table","male"
"like trains on your birthday","female"
"not the train table but the other piece","male"
"so the train","male"
"train","male"
"didjou wanna play with the trains","male"
"a train a train a train a train","male"
"couldjou wouldjou on a train","male"
"not on a train not in a tree","male"
"not in the dark not on a train","male"
"I will not eat them on a train","male"
"and in the dark and on a train","male"
"that's right and the train","male"
"that means there's a train coming a railroad crossing","male"
"trains","male"
"trains choo_choo chugga chugga xxx","male"
"yeah is that a train","male"
"is that is that nine acting like a track train track the train is riding on it","male"
"how many cars are on that train","male"
"nine cars on that train","male"
"by the train","male"
"with the train","male"
"and play with the train","male"
"is that a purple train","male"
"choo that's right train","male"
"trains yeah that was","male"
"is that a train","male"
"is that a purple train","male"
"trains","male"
"train","male"
"I see the train","male"
"you wanna do the choo_choo train","male"
"oh is this the train track","male"
"ya have one of those on your train table","male"
"we can read trains","male"
"I love trains","male"
"trains trains trains","male"
"I like trains","male"
"I like trains that hoot and roar they rumble by my door","male"
"and as the train goes round the bend","male"
"but what what type what part of the train is that","male"
"trains trains trains","male"
"we could put your train pieces in your train bin","male"
"xxx put together the train track William","male"
"soon the trains were rolling through the country+side in a long line","male"
"well all along the way people came out of the house and cheered when they saw the trains go by","male"
"look what I have no no we're gonna play here on the xxx train table","male"
"he's a train crossing the bridge","male"
"do you wanna build a track for your train","male"
"what about the little train","male"
"dya wanna play with your trains ya wanna build a track","male"
"that's a train track yes it is","male"
"wanna wanna build the train tracks and play with the trains","male"
"that looks like a train up there on the shelf doesn't it","male"
"were you reading your I love trains book","male"
"maybe you should use uh a train piece","male"
"because they're trains right","male"
"wanna play with the trains","male"
"gonna build a train track with mommy","male"
"I thought maybe we could build a track for the trains","male"
"should we put a do ya wanna build a train track","male"
"now would ya like to build a fancy train track or do ya wanna just have a simple circle","male"
"and how about those two train tracks pieces","male"
"those are the trains","male"
"a train track with a tunnel","male"
"where's the train tracks","male"
"the train tracks are right here","male"
"is that another train piece","male"
"you wanna play with the trains","male"
"you wanna go play with the trains","male"
"did I did I tell you that he rides the bike the two+wheeler with the training wheels","male"
"oh the train track huh","male"
"if you want we can build a track for a train","male"
"let's go play with your trains","male"
"are we building a track because we're gonna play with the trains","male"
"we going to play with the trains","male"
"yeah this is for the trains William you can xxx","male"
"use the trains","male"
"maybe we should make the train a little shorter maybe some of them need to take a rest","male"
"the trains are taking a rest and we're gonna ride on this beautiful road on this beautiful day we're gonna go over the hills and down the hills","male"
"how about we just do a small train","male"
"is always busy trains pull in and out should we put some trains here","male"
"in the train yard engines hook up to coaches and freight cars","male"
"this is William's table right here his train table filled with trucks and trains","male"
"trucks and trains","male"
"where's your xxx where's your train whistle","male"
"is it over there is it where where the rest of your train stuff is","male"
"yeah but where's your train","male"
"train piece actually","male"
"yeah but where's the train whistle where did it go","male"
"the monkey's gonna stay in the truck when they go to the restaurant","female"
"I think that's a fire truck or an ambulance","female"
"I think that this truck is towing this car","female"
"I think the truck has the the rope right there and he's towing the car","female"
"and this orange truck is doing something very different that I've never seen","female"
"what is the orange truck doing","female"
"I think it's kind of sand going pouring into this truck","female"
"that's a truck","male"
"a doll and a big truck","male"
"a bear is going on a trip and a bear goes in this truck","male"
"now do you think the bear should ride in here or drive the truck","male"
"I don't know they're in I think they're in the truck","male"
"the little man from your new truck","male"
"is he just gonna sit in the truck","male"
"in the truck too","male"
"oh my gosh what do you have a big truck full a big truck full of stuff","male"
"you wanna take the dump truck out I'm gonna come over by you too","male"
"the dump truck's gonna go over it","male"
"there's the passenger truck","male"
"don't go over me yeah you don't wanna get run over by that truck","male"
"some guy go there right on the truck","male"
"I was wondering if maybe you wanted a little ramp or a little slide and then the truck could slide down on it what do you think of that","male"
"lots_of passengers on this truck right now","male"
"the tow truck very good","male"
"what's a tow truck do","male"
"now you sit in the truck","male"
"alright you want the truck","male"
"where's Daddy's truck","male"
"where's your truck","male"
"where's Kev_Kev's truck","male"
"that's a truck","male"
"a truck","male"
"why're you putting them in the truck David","male"
"who where'd did you get sit in a firetruck","male"
"the red ones red lights are on ambulance and on a firetruck","male"
"lights are on firetrucks","male"
"you gonna take her for a ride in the truck Aislinn","female"
"you can put the man in the truck","female"
"you wanna take this man for a little ride in the truck","female"
"oh look at this truck Ais","female"
"do you wanna play with the little truck","female"
"truck","female"
"it's a truck","female"
"it's big a truck","female"
"truck","female"
"truck","female"
"you wanna play with the truck","female"
"lets get the truck","female"
"wanna take the man for a ride in that truck","female"
"now the truck","female"
"put the truck in there too","female"
"you can put the doll in the truck","female"
"or you could put this man in the truck","female"
"that doll's too big for the truck","female"
"look at that nice truck","female"
"do you wanna play with that truck","female"
"you wanna play with the nice truck Ais","female"
"you can put him in the little man truck","female"
"why don't you see if Oscar wants to go in the truck","female"
"here's your little truck","female"
"that's the mailman truck yeah","female"
"can Grover drive the truck","female"
"the wheels on the truck go round and round","female"
"you can put things in back of the truck like this and then you can dump them all out","female"
"it's a truck","female"
"it's a dump truck","female"
"okay now she can sit in the truck","female"
"that's a little dump truck Aislinn","female"
"I'm gonna put them in the truck Laura","female"
"I think it's in the truck","female"
"I think you put it in the truck Ais","female"
"fix the truck","female"
"this is a mailtruck","female"
"fix the mailtruck","female"
"does Grover fit in the truck","female"
"Grover can go in the truck","female"
"your mailtruck","female"
"you want your mailtruck","female"
"is that a truck","male"
"truck","male"
"no that's a truck","female"
"truck","female"
"truck","female"
"you can put all kinds of things in a truck","female"
"look Rachael you can put things in the back of the truck","female"
"look you can put things in the back of the truck","female"
"that's right it's a dump truck","female"
"where's the truck","male"
"JJ where the truck","male"
"what kind of truck","male"
"mail truck","male"
"that's a nice truck","male"
"do you like that truck","male"
"nice truck","male"
"can you find the big truck","male"
"maybe in the big truck","male"
"where's the big truck JJ","male"
"look at the big truck over there","male"
"truck","male"
"it's a big truck","male"
"what kind of truck is it","male"
"mail truck","male"
"are you putting them in the truck","male"
"that's a big truck","male"
"put the drum on the chair and then you could put the big truck up there","male"
"now you can put the big truck up there","male"
"big truck","male"
"you have a little truck","male"
"you have lots_of little trucks","male"
"why don't you put Oscar and Grover in the truck","male"
"take them for a ride in the truck","male"
"do you wanna take the baby for a ride in the truck","male"
"baby ride in truck","male"
"jeep near the mail truck","male"
"who's in the truck","male"
"Oscar's in the truck","male"
"who else is in the truck","male"
"truck","male"
"mailtruck","male"
"truck fall","male"
"you wanna put blocks in the truck","male"
"blocks in the truck","male"
"truck","male"
"truck Johnny","male"
"truck","male"
"truck","male"
"how does the horn on the truck go","male"
"truck","male"
"how does the horn on the truck go","male"
"who drives the truck","male"
"say truck","male"
"who drives a truck","male"
"how many trucks","male"
"uncle drives a truck too","male"
"where's the truck going","male"
"where's the truck going","male"
"are you going to iron the truck or are you going to give the iron a ride","male"
"play with the truck Johnny","male"
"are you going to drive the truck","male"
"mailtruck","male"
"the grapes are under the truck and so is the carrot","male"
"daddy drives a truck","male"
"is that a big dump truck","male"
"are you going to put the jeep in the truck","male"
"dump truck","male"
"say truck","male"
"big truck","male"
"bang truck","male"
"are you going to fix the truck","male"
"do you wanna fix the truck","male"
"fix the truck","male"
"only on trucks","male"
"fix the truck Johnny","male"
"maybe we can put the vegetables and food on the truck Patrick","male"
"mailman goes into his truck","male"
"this is the mailman's truck","male"
"that's his truck","male"
"now he could ride the truck","male"
"see this truck","male"
"the little truck","male"
"he can drive in the truck","male"
"there's a smaller truck over there","male"
"why don't you fix the truck","male"
"fix the truck","male"
"say truck","male"
"dump truck","male"
"big truck","male"
"fix the truck","male"
"hammer the truck","male"
"saw the truck","male"
"do you wanna put the tools in the truck","male"
"out of the truck","male"
"little truck","male"
"little truck","male"
"big truck","male"
"do you wanna put him in the little truck","male"
"little truck","male"
"where's the little truck","male"
"see his little truck","male"
"Oscar in the truck","male"
"you fix the truck","male"
"you can work on the truck with these","male"
"are you gonna put them in the truck","male"
"what's this truck","male"
"be nice to the truck","male"
"maybe you could work on the truck","male"
"bring the truck down here Johnny","male"
"the truck","male"
"truck","male"
"where's the truck","male"
"saw the truck","male"
"what are you doing to the truck","male"
"its a mailtruck","male"
"do you want the truck to go up your leg","male"
"that's a truck","male"
"its a truck","male"
"a truck","male"
"in the mailtruck","male"
"a dump truck","male"
"not the truck","male"
"the trucks too big for the purse","male"
"a truck","male"
"a dump truck","male"
"are you gonna fix the truck","male"
"that's a mailtruck","male"
"there's a truck honey","female"
"truck","male"
"move the tools off the truck okay","female"
"okay so you wanna go put the truck in the garage","female"
"so take the truck to the garage","female"
"where's your truck","male"
"the truck","male"
"by the truck","male"
"truck","male"
"big truck","male"
"where's where's your truck","male"
"I don't have the truck it must be upstairs","male"
"these are all yeah those are all cars all mixed up in the big truck","male"
"put your blocks in the truck look","male"
"Alex where's your big truck","male"
"where's your big truck with all the blocks in it","male"
"getcha new um ambulance truck that uh Papa xxx bought","male"
"get the the truck near Elmo","male"
"a train or a truck","male"
"a truck I think","male"
"truck","male"
"truck","male"
"mm truck","male"
"put it in the truck","male"
"where's the mail truck","male"
"truck","male"
"let's put your animals away first and I'll get your trucks","male"
"I'll get your trucks sit down","male"
"put your animals in there and I'll get the trucks","male"
"Alex why don't we would you like to play with your trucks","male"
"monster truck rally monster truck go","male"
"monster truck xxx monster truck","male"
"I don't have any more monster trucks","male"
"this is a uh xxx part of a trailer truck","male"
"yellow truck here I come","male"
"here I come here comes the dump+truck go ahead push on it sit down","male"
"this is a safari truck","male"
"this is for the this is for the the truck that goes to the cheese store Alex","male"
"this is a grocery store truck it brings","male"
"it's in the truck you left it in the truck","male"
"and this one the dump truck and the fire engine","male"
"okay let's put xxx your trucks and planes away like a nice boy","male"
"okay put your put your trucks in there and then I'll get your shapes","male"
"no put your trucks in there and your planes in here","male"
"put your trucks in there and the planes in here","male"
"xxx tow truck","male"
"I need more trucks I need more trucks","male"
"dump truck","male"
"here's your ice cream cone truck","male"
"mail truck","male"
"two monster trucks","male"
"and one dump truck","male"
"it's in the truck you said","male"
"you told me it was in the truck","male"
"uhoh it's loud what's that loud sound truck","male"
"let's go see if we can see the truck","male"
"a yellow truck","male"
"wow that's a garbage truck","male"
"this is a fire department truck","male"
"ice+cream truck","male"
"that's the money truck","male"
"thank you money truck come again","male"
"where's your truck","male"
"oh different trucks and things","male"
"that's mail truck","male"
"this one is a ladder truck","male"
"I don't see the ice+cream truck","male"
"cuz he's watching the trucks and everything go by","male"
"wow a garbage truck","male"
"no that was the milk truck","male"
"that's the milk truck","male"
"would you like to bring your blocks and your trucks into the kitchen","male"
"truck","male"
"a truck see the truck","male"
"some xxx carry trucks","male"
"pickup truck","male"
"it's a truck","male"
"that's a truck too","male"
"truck","male"
"lots_of trucks","male"
"and a pickup truck","male"
"truck","male"
"wee look at that big truck","male"
"truck","male"
"what's this little truck from","male"
"play with your truck","male"
"you could put him in the truck","male"
"dyou want the truck part of that","male"
"we saw those trucks yesterday didn't we","male"
"big big trucks yesterday","male"
"that's right in the truck book","male"
"another tow+truck","male"
"mhm there are all your trucks over there","male"
"mhm trucks are machines","male"
"what kind of truck","male"
"yeah it's a garbage truck","male"
"you want the garbage truck","male"
"truck book yeah","male"
"trucks yup","male"
"did you hit the truck","male"
"what trucks would you like","male"
"what trucks would you like","male"
"you wanna build a truck","male"
"wow look at that funny truck","male"
"we can use these trucks but we've got ta hurry","male"
"that's a funny truck","male"
"that's a really tall truck","male"
"it stays on let's play with your truck","male"
"I don't think this truck has ears but it definitely has","male"
"let's play with your new truck","male"
"let's play with your new truck","male"
"we need a tow truck huh","male"
"tow+truck time","male"
"fire truck","male"
"trucks and things that go","male"
"a backhoe truck","male"
"the trucks","male"
"a backhoe truck","male"
"truck machines","male"
"trucks are machines","male"
"you have a truck on your shirt","male"
"it's a truck in trouble","male"
"I do remember the trucks yes","male"
"what's your favorite truck","male"
"what's your favorite truck","male"
"what's this truck","male"
"mail truck right","male"
"you gonna play with your truck","male"
"dyou wanna look at your truck book","male"
"that's one truck book this is your other truck book","male"
"now what kind of truck is that","male"
"what kind of truck is that","male"
"this is a garbage truck this is a street sweeper","male"
"what kinda truck is that","male"
"dyou know what kinda truck that is","male"
"freight truck","male"
"fire trucks","male"
"this truck there it's a logging truck","male"
"it's for trucks","male"
"different trucks","male"
"Ethan's much heavier than a truck","male"
"would you like your trucks","male"
"they're fire trucks right","male"
"the other trucks","male"
"all different kinds of fire trucks","male"
"you want the little trucks","male"
"he wants to ride a truck","male"
"on the top of the truck","male"
"or else the truck can't go","male"
"dump truck that's right","male"
"a lot of dump trucks","male"
"digger trucks","male"
"he's in the back of a dump truck","male"
"this one's a pickup truck","male"
"truck in trouble book","male"
"and it was in the truck's way","male"
"yup truck in trouble book","male"
"there's the truck right","male"
"yup out of a mail truck","male"
"yup it's a pickup truck","male"
"you gonna put the blocks in your truck","male"
"dump truck","male"
"then he pushed the button on his dump truck and all the sand fell out","male"
"you're dump truck goes back in the sand box","male"
"when Ruby wasn't looking Max emptied the dump truck into his","male"
"mm put the two on the truck","male"
"delivery truck","male"
"a busy truck yup","male"
"that's the story we read about busy trucks","male"
"yup trucks are machines","male"
"trucks are big machines","male"
"trucks are big machines","male"
"he drove the truck to the factory","male"
"that's for trucks","male"
"it's a loud truck huh","male"
"those are for trucks and boulders","male"
"that's for a truck","male"
"dump truck","male"
"and he's scooping sand inta the dump truck","male"
"oh and the fire+engine on top of the big truck","male"
"yeah that's for trucks","male"
"tow+truck time","male"
"you think the truck needs some gas now","male"
"does the truck need gas","male"
"that truck needs a lot of gas","male"
"that's for trucks","male"
"a fire+engine has a cab just like a truck does","male"
"truck in trouble","male"
"does that look like a fire truck","male"
"it looks a little bit more like a flat+bed truck you're right","male"
"to pick up the smushed flat+bed truck","male"
"why don't you play with these trucks","male"
"why don't you make a dumptruck","male"
"sure needs a lot of gas that truck","male"
"we need the part of the truck","male"
"you wanna try to make a dumptruck","male"
"we'll just load up this dumptruck","male"
"dumptruck time","male"
"mhm the tow truck has to come","male"
"the digger can put the dirt in the dumptruck","male"
"did you play with some trucks","male"
"what did you do with the trucks did you load them","male"
"a tanker truck right","male"
"there're tanker trucks and tanker cars on trains","male"
"they're gonna get the logs ready for the logging truck","male"
"yup there's a red truck and what's that","male"
"oh your tire truck","male"
"truck in trouble","male"
"people in a dump truck would be covered with dirt","male"
"do we have a shiny blue car in your truck box","male"
"trucks","male"
"here's your dump truck","male"
"in the what truck","male"
"in the dump truck","male"
"you wanna try the truck","male"
"I need a ride in the dumptruck","male"
"Lady's pulling the logging truck","male"
"pushing the logging truck","male"
"or trucks","male"
"and a bear and a truck and some blocks","male"
"dyou know what kinda truck this is","male"
"that's right it's a mail truck","male"
"that's a garbage truck here we go","male"
"xxx sit down on the truck or on the ground","male"
"oil and dump trucks","male"
"that one can hook to the little dumptruck","male"
"there's a dump truck in there","male"
"and tow trucks can clear away some of that wreckage","male"
"and a truck","male"
"a tractor trailer those are very very big trucks","male"
"oh the hat for the truck","male"
"yeah they're big big trucks they carry many many things","male"
"dump trucks","male"
"well we have many dumptrucks","male"
"number one dumptruck","male"
"number two dumptruck","male"
"do you wanna look at your truck","male"
"number there tow+truck","male"
"we probably do have three tow+trucks","male"
"one tow+truck two","male"
"number six tow+truck","male"
"calling all tow+trucks","male"
"calling all tow+trucks","male"
"oil truck right","male"
"calling all dumptrucks","male"
"calling all dumptrucks","male"
"oh there's a broken dumptruck in the way","male"
"that one's carrying a truck and that's the","male"
"there's a truck too yeah","male"
"truck","male"
"that's the first time I've seen a truck like that on the railroad tracks","male"
"you could do that less being a milk truck you have a special pocket right here that works just perfectly","male"
"maybe you could hook it to the tow truck","male"
"where are all the trucks are they all here","male"
"it's working my truck is not stuck","male"
"my stuck truck is not stuck","male"
"can you get the fire truck are you scared of the fire truck","male"
"yeah they're pulling each other sometimes a tow truck pulls and sometimes a pick+up truck pulls huh","male"
"the milk truck with the milk","male"
"that's a pretty xxx truck","male"
"and the trucks can drive right through","male"
"mkay you hook it to the tow truck","male"
"the building fell down on top of the milk truck","male"
"if the building fell on top of the milk truck","male"
